gdp,phones,percent_literate
700,3.2,36
4500,71.2,86.5
6000,78.1,70
8000,259.5,97
19000,497.2,100
1900,7.8,42
8600,460,95
11000,549.9,89
11200,220.4,97.1
3500,195.7,98.6
28000,516.1,97
29000,565.5,100
30000,452.2,98
3400,137.1,97
16700,460.6,95.6
16900,281.3,89.1
1900,7.3,43.1
15700,481.9,97.4
6100,319.1,99.6
29100,462.6,98
4900,115.7,94.1
1100,9.7,40.9
36000,851.4,98
1300,14.3,42.2
2400,71.9,87.2
6100,215.4,nan
9000,80.5,79.8
7600,225.3,86.4
16000,506.5,97.8
18600,237.2,93.9
7600,336.3,98.6
1100,7,26.6
1800,10.1,85.3
600,3.4,51.6
1900,2.6,69.4
1800,5.7,79
29800,552.2,97
1400,169.6,76.6
35000,836.3,98
1100,2.3,51
1200,1.3,47.5
9900,213,96.2
5000,266.7,90.9
6300,176.2,92.5
700,24.5,56.5
700,0.2,65.5
700,3.7,83.8
5000,289.9,95
9100,340.7,96
1400,14.6,50.9
10600,420.4,98.5
2900,74.7,97
19200,nan,97.6
15700,314.3,99.9
31100,614.6,100
1300,22.8,67.9
5400,304.8,94
6000,97.4,84.7
500,nan,58.6
3300,125.6,92.5
4000,131.8,57.7
4800,142.4,80.2
2700,18.5,85.7
700,7.9,58.6
12300,333.8,99.8
700,8.2,42.7
22000,503.8,nan
5800,112.6,93.7
27400,405.3,100
27600,586.4,99
8300,255.6,83
17500,194.5,98
5500,27.4,63.2
1700,26.8,40.1
600,244.3,nan
2500,146.6,99
27600,667.9,99
2200,14.4,74.8
17500,877.7,nan
20000,589.7,97.5
20000,448.9,nan
5000,364.5,98
8000,463.8,90
21000,492,99
4100,92.1,70.6
20000,842.4,nan
2100,2.7,35.9
800,7.4,42.4
4000,143.5,98.8
1600,16.9,52.9
2600,67.5,76.2
28800,546.7,93.5
13900,336.2,99.4
30900,647.7,99.9
2900,45.4,59.5
3200,52,87.9
7000,276.4,79.4
1500,38.6,40.4
29600,500.5,98
21000,676,nan
19800,462.3,95.4
26700,430.9,98.6
3900,124,87.9
28200,461.2,99
24800,811.3,nan
4300,104.5,91.3
6300,164.1,98.4
1000,8.1,85.1
800,42.7,nan
1300,42.4,99
17800,486.1,97.9
19000,211,83.5
1600,84,97
1700,14.1,66.4
10200,321.4,99.8
4800,255.6,87.4
3000,23.7,84.8
1000,2.3,57.5
6400,127.1,82.6
25000,585.5,100
11400,223.4,99.6
55100,515.4,100
19400,384.9,94.5
6700,260,nan
800,3.6,68.9
600,7.9,62.7
9000,179,88.7
3900,90,97.2
900,6.4,46.4
17700,505,92.8
1600,91.2,93.7
14400,394.4,97.7
1800,12.9,41.7
11400,289.3,85.6
2600,49.7,nan
9000,181.6,92.2
2000,114.8,89
1800,208.1,99.1
27000,1035.6,99
1800,55.1,97.8
3400,nan,97
4000,40.4,51.7
1200,3.5,47.8
7200,62.6,84
5000,143,nan
1400,15.9,45.2
28600,460.8,99
11400,365.3,96.7
15000,252.2,91
21600,441.7,99
2300,39.7,67.5
800,1.9,17.6
900,9.3,68
12500,254.7,97
37800,461.7,100
13100,85.5,75.8
2100,31.8,45.7
9000,325.6,92
6300,137.9,92.6
2200,10.9,64.6
4700,49.2,94
5100,79.5,90.9
4600,38.4,92.6
11100,306.3,99.8
18000,399.2,93.3
16800,283.1,94.1
21500,232,82.5
5800,380.9,88.9
7000,196.9,98.4
8900,280.6,99.6
1300,2.7,70.4
2500,293.3,97
8800,638.9,97
5400,303.3,67
6900,683.2,99
2900,190.9,96
5600,75.2,99.7
34600,704.3,96
1200,36.2,79.3
11800,140.6,78.8
1600,22.2,40.2
2200,285.8,93
7800,262.4,58
500,4,31.4
23700,411.4,92.5
13300,220.1,nan
19000,406.1,99.7
1700,13.4,nan
500,11.3,37.8
10700,107,86.4
22000,453.5,97.9
3700,61.5,92.3
1900,16.3,61.1
4000,184.7,93
4900,30.8,81.6
26800,715,99
32700,680.9,99
3300,153.8,76.9
23400,591,96.1
1000,33.5,99.4
600,4,78.2
7400,108.9,92.6
1500,10.6,60.9
2200,97.7,98.5
9500,303.5,98.6
6900,123.6,74.2
6700,269.5,86.5
5800,74.6,98
9600,269.5,98
1100,59.3,nan
1400,3.6,69.9
5400,259.9,99.7
23200,475.3,77.9
27700,543.5,99
37800,898,97
12800,291.4,98
1700,62.9,99.3
2900,32.6,53
4800,140.1,93.4
2500,187.7,90.3
17200,652.8,nan
3700,118.6,50
800,145.2,nan
nan,nan,nan
800,37.2,50.2
800,8.2,80.6
1900,26.8,90.7
